AirlineName,AirportDest,AirportOrig,ArrTime,DepTime,FlightDuration,Price,StopsCount
LATAM Airlines Group,mcz,bsb,2020/01/15-18:00,2020/01/14-20:15,21:45,5684.0,2
LATAM Airlines Group,mcz,bsb,2020/01/14-19:15,2020/01/14-08:25,10:50,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/14-19:15,2020/01/14-08:30,10:45,2450.0,2
Azul,mcz,bsb,2020/01/15-01:45,2020/01/14-20:30,5:15,587.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/15-13:05,2020/01/14-20:30,16:35,533.0,1
LATAM Airlines Group,mcz,bsb,2020/01/15-13:55,2020/01/14-20:35,17:20,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/14-11:00,2020/01/14-08:40,2:20,1369.0,0
LATAM Airlines Group,mcz,bsb,2020/01/14-19:15,2020/01/14-08:50,10:25,1843.0,2
LATAM Airlines Group,mcz,bsb,2020/01/14-19:15,2020/01/14-09:05,10:10,1350.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/14-23:35,2020/01/14-21:10,2:25,288.0,0
LATAM Airlines Group,mcz,bsb,2020/01/15-13:55,2020/01/14-21:15,16:40,2450.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/14-22:45,2020/01/14-09:25,13:20,2011.0,1
LATAM Airlines Group,mcz,bsb,2020/01/14-18:00,2020/01/14-09:25,8:35,1350.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/14-15:15,2020/01/14-09:35,5:40,2011.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/14-12:05,2020/01/14-09:45,2:20,2011.0,0
Azul,mcz,bsb,2020/01/15-15:40,2020/01/15-10:10,5:30,1242.0,2
LATAM Airlines Group,mcz,bsb,2020/01/16-13:55,2020/01/15-22:50,15:5,1167.0,2
LATAM Airlines Group,mcz,bsb,2020/01/16-13:55,2020/01/15-22:55,15:00,2450.0,2
Azul,mcz,bsb,2020/01/15-20:30,2020/01/15-12:40,7:50,672.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/15-16:00,2020/01/15-13:35,2:25,2011.0,0
LATAM Airlines Group,mcz,bsb,2020/01/15-15:55,2020/01/15-13:35,2:20,1369.0,0
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/16-00:05,2020/01/15-13:55,10:10,2011.0,1
LATAM Airlines Group,mcz,bsb,2020/01/16-02:05,2020/01/15-14:45,11:20,2450.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/16-01:35,2020/01/15-15:00,10:35,1679.0,1
LATAM Airlines Group,mcz,bsb,2020/01/16-02:05,2020/01/15-15:55,10:10,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/16-02:05,2020/01/15-17:00,9:5,2450.0,2
Azul,mcz,bsb,2020/01/15-13:55,2020/01/15-06:00,7:55,587.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/16-12:00,2020/01/15-18:00,18:00,2011.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/15-15:15,2020/01/15-06:05,9:10,2011.0,1
LATAM Airlines Group,mcz,bsb,2020/01/15-16:25,2020/01/15-06:30,9:55,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/16-02:05,2020/01/15-18:45,7:20,1670.0,1
LATAM Airlines Group,mcz,bsb,2020/01/15-18:00,2020/01/15-06:50,11:10,2450.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/16-00:05,2020/01/15-19:05,5:00,2011.0,1
Azul,mcz,bsb,2020/01/16-00:40,2020/01/15-19:40,5:00,302.0,1
Azul,mcz,bsb,2020/01/16-01:45,2020/01/15-19:45,6:00,485.0,1
LATAM Airlines Group,mcz,bsb,2020/01/16-10:50,2020/01/15-20:00,14:50,1670.0,2
LATAM Airlines Group,mcz,bsb,2020/01/16-13:55,2020/01/15-20:10,17:45,2411.0,2
LATAM Airlines Group,mcz,bsb,2020/01/16-19:15,2020/01/15-20:15,23:00,5086.0,2
LATAM Airlines Group,mcz,bsb,2020/01/15-19:15,2020/01/15-08:25,10:50,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/15-19:15,2020/01/15-08:30,10:45,2450.0,2
Azul,mcz,bsb,2020/01/16-01:45,2020/01/15-20:30,5:15,485.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/16-12:00,2020/01/15-20:30,15:30,2011.0,1
LATAM Airlines Group,mcz,bsb,2020/01/16-10:50,2020/01/15-20:35,14:15,1670.0,2
LATAM Airlines Group,mcz,bsb,2020/01/15-11:00,2020/01/15-08:40,2:20,1369.0,0
LATAM Airlines Group,mcz,bsb,2020/01/15-19:15,2020/01/15-08:50,10:25,1843.0,2
LATAM Airlines Group,mcz,bsb,2020/01/15-19:15,2020/01/15-09:05,10:10,1843.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/15-23:30,2020/01/15-21:10,2:20,288.0,0
LATAM Airlines Group,mcz,bsb,2020/01/16-13:55,2020/01/15-21:15,16:40,2450.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/15-22:45,2020/01/15-09:25,13:20,2011.0,1
LATAM Airlines Group,mcz,bsb,2020/01/15-18:00,2020/01/15-09:25,8:35,2450.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/15-15:15,2020/01/15-09:35,5:40,2011.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/15-12:05,2020/01/15-09:45,2:20,288.0,0
Azul,mcz,bsb,2020/01/16-15:40,2020/01/16-10:10,5:30,1974.0,2
LATAM Airlines Group,mcz,bsb,2020/01/17-16:25,2020/01/16-22:50,17:35,1350.0,2
LATAM Airlines Group,mcz,bsb,2020/01/17-13:55,2020/01/16-22:55,15:00,2450.0,2
Azul,mcz,bsb,2020/01/16-17:25,2020/01/16-12:40,4:45,302.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/16-16:00,2020/01/16-13:35,2:25,288.0,0
LATAM Airlines Group,mcz,bsb,2020/01/16-15:55,2020/01/16-13:35,2:20,899.0,0
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/17-01:35,2020/01/16-15:00,10:35,2011.0,1
LATAM Airlines Group,mcz,bsb,2020/01/17-02:05,2020/01/16-15:00,11:5,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/17-02:05,2020/01/16-15:55,10:10,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/17-02:05,2020/01/16-17:00,9:5,2450.0,2
Azul,mcz,bsb,2020/01/16-13:55,2020/01/16-06:00,7:55,587.0,1
LATAM Airlines Group,mcz,bsb,2020/01/16-16:25,2020/01/16-06:00,10:25,2450.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/17-12:00,2020/01/16-18:00,18:00,2011.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/16-15:15,2020/01/16-06:05,9:10,2011.0,1
LATAM Airlines Group,mcz,bsb,2020/01/16-13:55,2020/01/16-06:15,7:40,1001.0,1
LATAM Airlines Group,mcz,bsb,2020/01/16-16:25,2020/01/16-06:30,9:55,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/17-02:05,2020/01/16-18:45,7:20,582.0,1
LATAM Airlines Group,mcz,bsb,2020/01/16-18:00,2020/01/16-06:50,11:10,2450.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/17-01:35,2020/01/16-06:55,18:40,2011.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/17-12:00,2020/01/16-19:15,16:45,2011.0,1
Azul,mcz,bsb,2020/01/17-00:40,2020/01/16-19:40,5:00,262.0,1
Azul,mcz,bsb,2020/01/17-01:45,2020/01/16-19:45,6:00,262.0,1
LATAM Airlines Group,mcz,bsb,2020/01/17-09:55,2020/01/16-20:00,13:55,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/17-13:55,2020/01/16-20:10,17:45,2411.0,2
LATAM Airlines Group,mcz,bsb,2020/01/17-19:15,2020/01/16-20:15,23:00,4981.0,2
LATAM Airlines Group,mcz,bsb,2020/01/16-19:15,2020/01/16-08:25,10:50,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/16-19:15,2020/01/16-08:30,10:45,2450.0,2
Azul,mcz,bsb,2020/01/17-01:45,2020/01/16-20:30,5:15,262.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/17-12:00,2020/01/16-20:30,15:30,2011.0,1
LATAM Airlines Group,mcz,bsb,2020/01/17-09:55,2020/01/16-20:35,13:20,2074.0,2
LATAM Airlines Group,mcz,bsb,2020/01/16-11:00,2020/01/16-08:40,2:20,899.0,0
LATAM Airlines Group,mcz,bsb,2020/01/16-19:15,2020/01/16-08:50,10:25,1502.0,2
LATAM Airlines Group,mcz,bsb,2020/01/16-19:15,2020/01/16-09:05,10:10,1502.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/16-23:35,2020/01/16-21:10,2:25,288.0,0
LATAM Airlines Group,mcz,bsb,2020/01/17-13:55,2020/01/16-21:15,16:40,2450.0,2
